totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
585000;875;18284;0;1530;
586000;874;18226;0;1584;
587000;884;18187;0;1515;
588000;902;18389;0;1206;
589000;897;18082;0;1445;
590000;892;18307;0;1233;
591000;897;18436;0;1233;
592000;880;18283;0;1521;
593000;902;18242;0;1326;
594000;890;18105;0;1315;
595000;890;17684;0;1489;
596000;883;17991;0;1433;
597000;889;18348;0;1069;
598000;881;18022;0;1453;
599000;910;18216;0;979;
600000;882;17984;0;1590;
601000;894;18281;0;1166;
602000;897;18315;0;1454;
603000;891;18439;0;1625;
604000;888;17915;0;1255;
605000;892;18144;0;1529;
606000;887;18023;0;1454;
607000;896;18369;0;1289;
608000;885;18240;0;1484;
609000;879;18226;0;1470;
610000;889;18215;0;1482;
611000;883;18412;0;1237;
612000;890;18046;0;1378;
613000;880;18318;0;1571;
614000;888;18177;0;1595;
615000;878;17848;0;1759;
616000;890;18266;0;1305;
617000;892;18010;0;1541;
618000;877;18144;0;1476;
619000;899;18319;0;1536;
620000;897;18543;0;1344;
621000;888;18287;0;1519;
622000;891;18112;0;1566;
623000;888;18291;0;1487;
624000;906;18656;0;1221;
625000;880;18084;0;1524;
626000;891;18155;0;1388;
627000;883;18073;0;1475;
628000;894;17957;0;1571;
629000;902;18138;0;1198;
630000;907;18781;0;960;
631000;900;18409;0;1169;
632000;899;18645;0;1237;
633000;902;18549;0;859;
634000;898;18205;0;1583;
635000;902;17980;0;1624;
636000;889;18256;0;1170;
637000;894;18405;0;1307;
638000;889;18517;0;1454;
639000;875;18265;0;1866;
640000;899;18268;0;1572;
641000;888;18281;0;1531;
642000;895;17997;0;1418;
643000;877;18075;0;1333;
644000;889;18255;0;1460;
645000;881;18349;0;1553;
646000;895;18452;0;1481;
647000;900;18302;0;1344;
648000;887;18266;0;1245;
649000;901;18022;0;1288;
650000;903;18446;0;1427;
651000;897;18458;0;1384;
652000;896;18126;0;1185;
653000;904;18229;0;1007;
654000;892;18040;0;1424;
655000;902;18820;0;1399;
656000;869;18519;0;1721;
657000;878;17847;0;1759;
658000;895;17987;0;1243;
659000;899;18324;0;1361;
660000;887;18457;0;1525;
661000;898;18313;0;1463;
662000;897;18601;0;1085;
663000;887;18435;0;1412;
664000;893;18026;0;1296;
665000;901;18241;0;1286;
666000;881;18032;0;1605;
667000;906;18782;0;1412;
668000;882;18350;0;1535;
669000;895;18423;0;1462;
670000;900;17907;0;1227;
671000;901;18326;0;1082;
672000;885;18230;0;1450;
673000;909;18521;0;1556;
674000;892;18238;0;1396;
675000;878;18213;0;1382;
676000;887;18202;0;1800;
677000;893;18403;0;1381;
678000;899;18058;0;1396;
679000;892;18115;0;1409;
680000;895;18810;0;1174;
