totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
160000;293;12159;11453;10228;2022-04-21T19:41:35.550;
161000;279;12112;11391;10092;2022-04-21T19:43:49.245;
162000;310;12567;11877;9604;2022-04-21T19:46:09.276;
163000;307;12386;11692;10455;2022-04-21T19:48:26.177;
164000;293;12336;11629;10206;2022-04-21T19:50:43.602;
165000;285;12430;11715;11120;2022-04-21T19:53:02.920;
166000;287;12098;11385;10506;2022-04-21T19:55:17.172;
167000;258;12118;11376;11195;2022-04-21T19:57:31.783;
168000;270;12026;11297;10455;2022-04-21T19:59:44.575;
169000;277;12281;11557;10834;2022-04-21T20:02:00.922;
170000;268;12160;11428;10731;2022-04-21T20:04:16.139;
171000;284;12216;11500;11295;2022-04-21T20:06:31.418;
172000;258;12011;11270;10707;2022-04-21T20:08:44.374;
173000;292;12196;11488;11627;2022-04-21T20:10:59.582;
174000;289;12357;11645;10249;2022-04-21T20:13:17.030;
175000;318;12370;11688;9671;2022-04-21T20:15:33.229;
176000;271;12221;11493;10712;2022-04-21T20:17:48.880;
177000;258;12007;11265;11513;2022-04-21T20:20:01.398;
178000;281;11942;11223;11387;2022-04-21T20:22:12.871;
179000;300;12367;11667;11006;2022-04-21T20:24:29.728;
180000;289;12189;11477;11022;2022-04-21T20:26:44.268;
181000;282;12191;11473;10882;2022-04-21T20:28:59.153;
182000;276;12226;11502;10810;2022-04-21T20:31:15.737;
183000;243;11744;10988;11233;2022-04-21T20:33:27.181;
184000;304;12131;11435;10272;2022-04-21T20:35:40.599;
185000;281;12066;11346;11370;2022-04-21T20:37:55.413;
186000;258;11984;11243;10818;2022-04-21T20:40:08.435;
187000;311;12544;11854;10152;2022-04-21T20:42:28.385;
188000;257;11980;11238;10800;2022-04-21T20:44:39.812;
189000;298;12672;11969;10439;2022-04-21T20:46:59.635;
190000;280;12195;11476;10363;2022-04-21T20:49:14.849;
191000;266;12056;11321;11334;2022-04-21T20:51:33.373;
192000;306;12538;11845;9994;2022-04-21T20:53:52.093;
193000;285;12209;11493;10181;2022-04-21T20:56:08.486;
194000;277;12445;11722;10663;2022-04-21T20:58:26.273;
195000;324;12505;11829;9642;2022-04-21T21:00:43.433;
196000;298;12698;11997;10753;2022-04-21T21:03:03.089;
197000;312;12508;11820;9839;2022-04-21T21:05:21.093;
198000;294;12108;11401;10452;2022-04-21T21:07:34.379;
199000;292;12764;12057;10248;2022-04-21T21:09:55.708;
200000;309;12450;11759;10217;2022-04-21T21:12:12.709;
201000;329;12569;11898;9979;2022-04-21T21:14:30.315;
202000;299;12091;11389;10612;2022-04-21T21:16:41.466;
203000;309;12334;11643;10251;2022-04-21T21:18:57.409;
204000;300;12185;11485;10491;2022-04-21T21:21:10.162;
205000;306;12708;12015;9686;2022-04-21T21:23:32.112;
206000;310;12296;11605;9793;2022-04-21T21:25:48.591;
207000;291;12334;11626;10557;2022-04-21T21:28:05.323;
208000;306;12582;11887;10163;2022-04-21T21:30:24.414;
209000;293;12139;11432;11068;2022-04-21T21:32:39.256;
210000;291;12173;11464;10258;2022-04-21T21:34:53.368;
211000;280;12349;11629;10486;2022-04-21T21:37:10.243;
212000;285;11967;11252;10821;2022-04-21T21:39:20.736;
213000;311;12957;12269;9446;2022-04-21T21:41:44.018;
214000;293;12455;11747;10179;2022-04-21T21:44:03.424;
